youtube,twitter,facebook,instagram,amazon,vinted,marktplaats,myeushop,wish,kruidvat
193.07304,121.739184,112.896144,111.717072,159.17472,107.42868,104.40252,101.37636,102.586824,96.08058
194.54688,120.560112,112.896144,111.569688,146.794464,108.790452,104.099904,100.317204,102.88944,94.870116
191.5992,119.823192,123.655176,172.43928,159.17472,107.882604,103.948596,100.468512,105.461676,97.442352
193.07304,121.444416,118.938888,166.54392,162.1224,108.639144,105.310368,103.343364,104.251212,98.047584
193.07304,122.623488,117.612432,169.4916,147.384,107.277372,103.343364,100.771128,101.37636,96.383196
196.02072,119.086272,114.812136,101.105424,147.384,104.705136,106.218216,101.527668,105.007752,96.534504
193.07304,120.265344,108.622008,97.27344,148.85784,107.882604,105.9156,100.61982,104.705136,95.777964
190.12536,120.412728,114.95952,109.506312,143.994168,107.882604,104.553828,101.527668,102.88944,95.777964
194.54688,119.970576,101.69496,141.341256,142.667712,108.94176,105.007752,101.073744,104.251212,96.383196
190.12536,120.560112,108.622008,170.96544,159.17472,107.126064,104.099904,101.678976,103.948596,99.86328
191.5992,120.11796,98.599896,107.885088,146.794464,106.520832,106.066908,100.61982,103.040748,97.139736
194.54688,121.739184,113.338296,109.948464,160.64856,106.67214,103.040748,101.527668,106.369524,97.896276
194.54688,122.32872,111.127536,166.54392,159.17472,106.823448,105.612984,101.678976,102.586824,96.83712
191.5992,120.11796,117.022896,106.11648,160.64856,106.369524,105.15906,99.711972,107.731296,96.534504
191.5992,123.06564,113.190912,106.558632,157.70088,107.731296,104.099904,101.073744,103.64598,95.929272
193.07304,120.412728,106.706016,108.916776,143.846784,106.67214,105.9156,102.88944,102.284208,96.231888
191.5992,118.938888,114.369984,112.453992,157.70088,109.546992,104.553828,99.711972,101.830284,97.59366
191.5992,124.392096,113.043528,170.96544,148.85784,105.15906,112.573152,99.86328,98.501508,96.534504
191.5992,120.560112,110.095848,99.778968,145.17324,106.520832,105.612984,100.922436,103.192056,98.198892
193.07304,122.32872,98.74728,110.685384,147.384,108.790452,104.099904,104.705136,103.040748,96.685812
