instagram,facebook,youtube,twitter,amazon
153.89928,113.800752,133.285248,148.2516,159.54696
159.54696,189.19728,137.379816,220.25952,158.13504
149.66352,112.388832,135.54432,221.67144,160.95888
148.2516,110.412144,133.002864,145.42776,163.78272
151.07544,194.84496,136.532664,264.02904,155.3112
149.66352,110.976912,136.673856,241.43832,168.01848
155.3112,108.294264,138.509352,145.42776,158.13504
149.66352,120.71916,136.109088,214.61184,159.54696
148.2516,115.918632,138.791736,245.67408,163.78272
149.66352,111.54168,135.826704,247.086,156.72312
148.2516,112.9536,137.379816,160.95888,158.13504
149.66352,114.083136,136.815048,158.13504,160.95888
149.66352,133.144056,133.850016,210.37608,160.95888
140.344848,120.860352,136.391472,134.273592,155.3112
149.66352,151.07544,138.650544,252.73368,155.3112
148.2516,115.918632,122.83704,152.48736,155.3112
146.83968,112.812408,131.590944,162.3708,159.54696
151.07544,108.576648,142.60392,158.13504,163.78272
152.48736,112.388832,134.414784,266.85288,159.54696
144.01584,118.742472,134.979552,187.78536,160.95888
