Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.288,200.288,screen dark,28.863263334400003
0,1.948,1.948,wifi running,0.003987556000000001
1.948,4.052,2.1039999999999996,wifi scan,0.37900614399999993
4.052,200.288,196.23600000000002,wifi running,0.4016950920000001
4.052,200.288,196.23600000000002,audio,32.13560736000001
4.052,15.271,11.219000000000001,audio,1.8372234400000005
16.994,200.288,183.294,audio,30.016225440000007
16.994,27.931,10.937000000000001,audio,1.7910431200000003
29.751,200.288,170.537,audio,27.927139120000003
29.751,39.952,10.200999999999997,audio,1.6705157599999996
41.755,200.288,158.53300000000002,audio,25.961364080000006
41.755,52.234,10.479,audio,1.7160410400000001
54.129,200.288,146.15900000000002,audio,23.934997840000005
54.129,65.871,11.741999999999997,audio,1.9228699199999997
67.30199999999999,200.288,132.98600000000002,audio,21.777787360000005
67.30199999999999,78.77,11.468000000000004,audio,1.8779996800000007
80.709,200.288,119.57900000000001,audio,19.582257040000002

