Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.387,205.387,screen dark,30.870487647999997
0,33.434,33.434,wifi running,0.07138158999999998
33.434,35.76,2.3260000000000005,wifi scan,0.43700888
35.76,205.387,169.627,wifi running,0.36215364499999997
0,205.387,205.387,audio,35.0800996
0,0.379,0.379,audio,0.06473319999999999
33.434,205.387,171.953,audio,29.369572399999996
33.434,43.459,10.025000000000006,audio,1.7122700000000008
45.848,205.387,159.539,audio,27.249261199999996
45.848,71.167,25.319000000000003,audio,4.3244852

