Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.352,200.352,screen dark,29.620039680000005
0,200.352,200.352,wifi running,0.4207392000000001
40.881,200.352,159.471,audio,26.791128000000004
40.881,66.155,25.274,audio,4.2460320000000005
79.289,200.352,121.063,audio,20.338584
79.289,107.407,28.117999999999995,audio,4.723824
107.81700000000001,200.352,92.535,audio,15.54588
107.81700000000001,136.296,28.478999999999985,audio,4.784471999999997
136.373,200.352,63.97900000000001,audio,10.748472000000003
136.373,164.855,28.482,audio,4.784976

