Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.47899999999998,205.47899999999998,screen dark,28.367280057600002
0,33.233,33.233,wifi running,0.065169913
33.233,35.669,2.436,wifi scan,0.420375648
35.669,205.47899999999998,169.81,wifi running,0.33299741
0.422,205.47899999999998,205.057,audio,32.16934216
0.422,1.305,0.883,audio,0.13852504000000002
33.233,205.47899999999998,172.24599999999998,audio,27.02195248
33.233,43.257,10.024000000000001,audio,1.5725651200000004
45.796,205.47899999999998,159.683,audio,25.05106904
45.796,71.116,25.32,audio,3.9722016000000004

