Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.40800000000002,205.40800000000002,screen dark,28.357478195200006
0,72.799,72.799,wifi running,0.14275883900000003
72.799,75.24,2.4409999999999883,wifi scan,0.42123848799999797
75.24,205.40800000000002,130.168,wifi running,0.255259448
0,205.40800000000002,205.40800000000002,audio,32.22440704000001
0,0.393,0.393,audio,0.06165384000000001
8.36,205.40800000000002,197.048,audio,30.912890240000003
8.36,19.438,11.078,audio,1.7379166400000001
19.476,205.40800000000002,185.93200000000002,audio,29.169012160000005
19.476,55.522,36.046,audio,5.654896480000001
71.541,205.40800000000002,133.86700000000002,audio,21.001054960000005

